,Umetnicka galerija,Adresa,Grad,Opis
0,Национална Установа Уметничка Галерија,Илинденска б.б.,Тетово,уметнички галерии
1,Анарт,М.Т.Гологанов (Иво Лола Рибар) 70-б,Скопје,"уметнички галерии, сликари"
2,АнаГор,Народен Фронт 21,Скопје,"уметнички галерии, реставрација на слики, рамки и врамување, сликарски материјали, ателјеа, уметнички дела - трговија, уметнички прибор"
3,Антика,Широк Сокак (Маршал Тито) 131,Битола,"уметнички галерии, сувенири, антикварници, бижутерија"
4,Ан-Ју,Петре Филиповски Гарката 29,Скопје,"рамки и врамување, уметнички галерии, филиграни, икони"
5,Арте галерија,М.Т.Гологанов (Иво Лола Рибар) 49,Скопје,уметнички галерии
6,Арт Галерија Срна,Цар Самоил 8,Охрид,уметнички галерии
7,Арт Емануела,Климентов Универзитет 72,Охрид,уметнички галерии
8,Арт Си,Максим Горки 31-а,Скопје,уметнички галерии
9,Арт Студио Реализам,бул.Јане Сандански 82,Скопје,"уметнички галерии, училишта за ликовна уметност"
10,Арт Шаби Чик,Маршал Тито 6,Кочани,уметнички галерии
11,Ателиер Анастас Дудан,Јане Сандански 14,Охрид,"уметнички галерии, икони, гифт-шоп, ателјеа, декоративни предмети, сувенири"
12,Ателје Марјак,Томе Арсовски 22,Скопје,"накит - производство и трговија, ателјеа, уметнички галерии, филиграни, самостојни уметници"
13,Ателје Танева,ТЦ Бисер 1 кат,Скопје,уметнички галерии
14,Ателје-Тони Шулајковски,Анастас Митрев 27-1/6,Скопје,"ателјеа, уметнички галерии, сликари"
15,Аурис арт,М.Т.Гологанов (Иво Лола Рибар) 47,Скопје,"уметнички галерии, сликарски материјали"
16,Банели,Даме Груев 5 лок.3,Скопје,"уметнички галерии, рамки и врамување"
17,Бизарт,Индустриски пат б.б.,Битола,"уметнички дела - трговија, уметнички галерии"
18,Бисер-94,Бел Камен 154/2,Кочани,"дрвена граѓа - производство и трговија, рамки и врамување, уметнички галерии, огледала"
19,Букефал,Св.Климент Охридски 54,Охрид,"уметнички галерии, проценувачи на уметност и антиквитети, ателјеа"
